COD_UF,COD_MUNICIPIO,NOME_MUNICIPIO,POPULACAO
35,18602,Guariba,40857
35,18701,Guarujá,324977
35,18800,Guarulhos,1404694
35,18859,Guatapará,7760
35,18909,Guzolândia,5346
35,19006,Herculândia,9649
35,19055,Holambra,15605
35,19071,Hortolândia,237570
35,19105,Iacanga,12002
35,19204,Iacri,6269
35,19253,Iaras,9786
35,19303,Ibaté,35830
35,19402,Ibirá,12639
35,19501,Ibirarema,7926
35,19600,Ibitinga,61150
35,19709,Ibiúna,80062
35,19808,Icém,8363
35,19907,Iepê,8228
35,20004,Igaraçu do Tietê,24821
35,20103,Igarapava,30791
35,20202,Igaratá,9631
35,20301,Iguape,31117
35,20400,Ilhabela,36194
35,20426,Ilha Comprida,11552
35,20442,Ilha Solteira,26886
35,20509,Indaiatuba,260690
35,20608,Indiana,4873
35,20707,Indiaporã,3876
35,20806,Inúbia Paulista,4045
35,20905,Ipaussu,15165
35,21002,Iperó,38771
35,21101,Ipeúna,7824
35,21150,Ipiguá,5557
35,21200,Iporanga,4180
35,21309,Ipuã,16794
35,21408,Iracemápolis,24982
35,21507,Irapuã,8101
35,21606,Irapuru,8356
35,21705,Itaberá,17405
35,21804,Itaí,27632
35,21903,Itajobi,15331
35,22000,Itaju,3937
35,22109,Itanhaém,104351
35,22158,Itaoca,3332
35,22208,Itapecerica da Serra,179574
35,22307,Itapetininga,167106
35,22406,Itapeva,95241
35,22505,Itapevi,244131
35,22604,Itapira,75683
35,22653,Itapirapuã Paulista,4294
35,22703,Itápolis,43536
35,22802,Itaporanga,15197
35,22901,Itapuí,14297
35,23008,Itapura,4994
35,23107,Itaquaquecetuba,379082
35,23206,Itararé,50778
35,23305,Itariri,17754
35,23404,Itatiba,124254
35,23503,Itatinga,21139
35,23602,Itirapina,18610
35,23701,Itirapuã,6587
35,23800,Itobi,7862
35,23909,Itu,177150
35,24006,Itupeva,64330
35,24105,Ituverava,42259
35,24204,Jaborandi,6963
35,24303,Jaboticabal,78029
35,24402,Jacareí,237119
35,24501,Jaci,7322
35,24600,Jacupiranga,17911
35,24709,Jaguariúna,59921
35,24808,Jales,49291
35,24907,Jambeiro,6828
35,25003,Jandira,127734
35,25102,Jardinópolis,45544
35,25201,Jarinu,31173
35,25300,Jaú,153463
